student_id,raw
741409505,12
166550819,14
842928803,13
121026116,11
243973181,13
648897404,12
441183872,12
940366015,12
996675949,13
613649044,11
697449950,13
816697185,11
309851373,13
230841602,12
112585242,11
639247849,12
772571191,11
439177775,10
825924223,12
778711926,12
778809645,10
213687024,13
930198107,14
147081110,11
476501511,13
692149055,12
857550903,12
646417956,11
839692506,13
597928728,8
470274319,11
427892728,11
750002093,11
164357426,11
556572498,12
196337710,14
327619621,10
873553410,11
979956440,12
399075189,11
421918114,12
521060687,13
730638261,11
611481869,11
761118168,11
226851210,10
593415200,13
201254718,13
391323223,12
607236889,10
577537507,11
801629187,12
830648037,11
276775233,13
337938230,12
124973030,12
302439627,11
135822943,11
824972140,13
469327676,13
812252932,10
147105252,11
559279554,11
302128766,12
531012677,12
140215932,13
686683009,12
418697877,11
383230831,12
297735466,12
361889196,11
989085025,13
921580585,12
914116001,13
477821981,12
781078908,13
629083507,12
414335642,12
927067899,13
467664607,12
605803437,14
334190093,12
539723795,11
776636852,13
603625373,11
216449176,13
360896225,13
234490559,11
604606135,12
586418418,11
214061086,12
454729825,12
290208350,12
691858261,14
928470782,13
313842144,14
115837634,11
733647131,12
389176342,10
977383993,12
461451516,11
743917915,11
518121753,14
879129338,10
163279740,12
105492788,13
480136294,12
940697363,12
477525567,13
698829068,12
112933422,12
593231810,13
222709813,13
334788047,12
173784221,12
146979648,12
720274784,11
765991690,13
450925624,11
467915198,14
221778646,11
488329539,11
758734534,12
493494400,11
145127616,13
677974469,12
537981648,11
252397667,13
796197492,11
452513143,12
197967446,12
648864945,12
910232032,12
356389357,11
794684717,12
506809716,12
518721530,11
613282308,11
360146845,15
224419444,11
299836053,13
943001124,11
637655164,12
801936908,11
165749503,10
667500698,11
158914963,13
778082545,12
956196718,12
124681830,13
554149854,13
739862946,10
986050459,11
727617495,14
312847714,14
818178897,12
614532708,14
271522930,12
626810601,11
473825714,12
818134958,12
766299232,13
244055300,12
877197653,14
600916656,12
971027671,13
786320261,14
110019694,11
379908997,12
459616472,12
783560840,13
762539395,12
786382903,14
233945195,12
555110059,13
531854984,12
873612012,12
287854224,13
276936575,11
307068925,12
470459038,13
374154428,11
535458018,14
770835804,12
325461245,11
539286032,13
588595841,11
163567842,12
934905871,11
163478094,11
193789406,12
802142709,12
975011415,13
678694513,12
820602797,10
340539512,12
496835416,11
915714920,11
736151873,12
669703807,13
162604679,13
629716515,12
862415649,11
907420205,14
190692209,12
158020985,11
948159112,11
947550672,13
779970707,12
165206485,12
795633857,11
489828891,11
769782294,12
343334727,13
714770675,12
225243063,10
214714051,12
665171530,12
973968917,12
226303555,13
912303007,12
631075405,13
535123891,11
783479691,12
612105699,12
879322326,12
622498488,13
319843671,11
530779059,11
185561599,12
317938654,11
394220651,10
584060710,11
575132469,11
661514127,11
423948781,12
292893312,11
522525118,12
136277515,12
246729927,11
938356677,12
222993327,11
260171796,11
612775063,11
931534438,12
681934957,13
158698329,12
365194970,11
309441098,10
157333428,11
