student_id,raw
651731635,43
711089427,60
453414440,50
327839322,51
594620547,50
299545255,60
878574235,53
303096640,54
423786874,57
808330825,36
865075436,31
121716200,49
192681162,49
589621273,48
710844963,33
980264135,65
271704214,50
560872629,60
139614390,58
288183203,37
880167426,32
493934669,43
856618641,61
303345390,40
889825079,56
396536423,53
681772917,25
779871192,44
106786934,47
976026346,32
392582445,60
355620339,44
742030620,34
762866370,47
834309375,39
613920173,45
584498154,44
399579387,65
103274218,52
420045150,52
385333825,62
971446342,45
423959707,57
721616263,55
879731719,82
365082614,58
474819522,45
786579512,59
623573698,56
239453295,59
810178988,53
740178871,59
995614338,49
647252100,56
768514454,34
442647218,53
561141008,37
442779925,51
174026189,45
242898097,65
102960042,73
129685988,46
814350187,52
446489624,52
847764383,35
211150207,40
459037275,40
838919734,44
196580019,47
961104024,50
710081221,57
324733372,41
844780009,50
195958365,69
679150470,37
209233566,47
124236099,46
690552775,54
579899447,56
317066621,50
804688478,46
315669950,49
132525496,62
895707951,51
774301332,34
884502568,36
945413118,40
881672468,36
687790655,58
314218397,30
904276140,45
743033636,63
164439860,74
689974766,78
498963655,62
194195534,52
612014772,36
714828848,26
234629724,62
297500263,44
122866687,52
313681858,38
888807355,69
306543277,53
995175916,47
873049706,68
130788925,45
610395019,50
976626235,54
465129949,40
317550140,37
307375306,56
139267396,29
130007278,46
309874544,36
964841181,67
674547463,44
107978739,34
264727101,57
501288964,48
749138029,33
279792425,51
267567515,61
271789763,51
106042337,40
778967335,54
575972387,39
670475972,52
264753709,45
555060978,70
293140010,39
899191707,58
173696145,55
159965418,46
702701999,35
688863857,50
123692565,36
567154082,46
601604112,49
341684496,56
879820476,58
326060649,34
193467768,67
116087055,36
669182460,43
946990160,44
110284505,34
111538749,59
613953486,43
909625839,43
967274306,41
903937373,45
541914188,39
385114044,54
392473888,51
331871159,31
149945471,40
812775074,63
203932676,66
142510157,38
550658855,37
763766182,63
854920641,40
602347547,56
394407482,46
783401438,60
673943784,40
713592278,53
302105373,58
412550024,60
631907805,58
262045574,62
617570714,67
242828044,55
213430325,44
282092883,48
222651898,44
800414124,48
818852307,62
850126986,40
887225910,47
472358198,49
441844416,21
346250447,48
728104305,59
905326790,39
807090917,29
222023218,66
170902168,58
763532694,62
247070937,38
994395423,60
254247666,37
823155483,46
944286017,42
948236500,57
958081174,53
756773373,50
283140184,55
813896272,48
867152247,27
904457846,57
781064756,66
310511889,67
141336954,49
253863724,66
513454548,61
159554670,65
997484998,53
234004596,41
545966593,36
444626182,52
310618102,61
268461912,58
577333720,53
567497707,44
892659141,43
797277940,39
413259234,52
394400923,60
901813880,58
427010201,62
360913571,64
831158532,56
341039592,62
621785534,69
895129614,49
811939685,43
449775128,47
627899712,46
748394806,49
925236185,25
380935555,46
523646149,41
524657812,40
707102606,63
511740065,48
317751883,57
563736332,61
613531978,59
821084772,54
283037943,53
704828690,58
482482593,64
914067583,52
274874675,53
342076732,62
881710683,60
857310853,47
298963405,32
